City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avarua,CK,2021-01-24 22:34:30,-21.2078,-159.775,86.0,70,89,12.66
68,Hualmay,PE,2021-01-24 22:35:24,-11.0964,-77.6139,74.03,71,53,8.08
69,Snasa,NO,2021-01-24 22:36:15,64.2457,12.3778,25.77,93,91,3.85
70,Longyearbyen,SJ,2021-01-24 22:33:28,78.2186,15.6401,15.8,62,0,12.66
71,Phan Thiet,VN,2021-01-24 22:32:59,10.9333,108.1,70.79,87,69,3.83
72,Krasnotorka,UA,2021-01-24 22:36:16,48.682,37.5327,33.84,89,100,10.87
73,Bady Bassitt,BR,2021-01-24 22:36:16,-20.9181,-49.4453,84.2,45,75,4.61
74,Kalianget,ID,2021-01-24 22:36:16,-7.05,113.9333,77.76,84,100,11.21
75,Mitsamiouli,KM,2021-01-24 22:36:16,-11.3847,43.2844,80.91,71,93,5.35
76,Gat,IL,2021-01-24 22:35:19,31.61,34.7642,51.01,100,0,1.99
77,Brae,GB,2021-01-24 22:36:16,60.3964,-1.353,37.4,87,40,10.36
78,Acapulco,MX,2021-01-24 22:32:21,16.8634,-99.8901,86.0,70,40,4.61
79,Narsaq,GL,2021-01-24 22:34:48,60.9167,-46.05,26.6,28,0,29.93
80,Neepawa,CA,2021-01-24 22:34:31,50.2289,-99.4664,-7.6,64,75,2.26
81,Baykit,RU,2021-01-24 22:32:10,61.67,96.37,-27.51,80,99,2.06
82,Turayf,SA,2021-01-24 22:36:17,31.6725,38.6637,41.0,60,0,11.5
83,Bilibino,RU,2021-01-24 22:32:11,68.0546,166.4372,-31.07,81,98,1.36
84,Tuktoyaktuk,CA,2021-01-24 22:34:24,69.4541,-133.0374,-5.8,77,75,9.22
85,Alofi,NU,2021-01-24 22:36:18,-19.0595,-169.9187,84.2,74,75,3.44
86,Kaitangata,NZ,2021-01-24 22:34:24,-46.2817,169.8464,64.0,62,100,17.0
87,Gizo,SB,2021-01-24 22:34:59,-8.103,156.8419,83.46,67,60,8.23
88,Chuy,UY,2021-01-24 22:35:13,-33.6971,-53.4616,72.66,86,0,8.08
89,Berdigestyakh,RU,2021-01-24 22:36:18,62.0989,126.6992,-52.13,76,70,2.28
