City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
59,Souillac,MU,-20.5167,57.5167,77.0,88,40,3.44,light rain,2021-01-24 23:39:01
60,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,90,8.05,overcast clouds,2021-01-24 23:39:01
61,Tonstad,NO,58.6626,6.7169,26.6,80,0,6.44,clear sky,2021-01-24 23:39:01
62,Meadow Lake,US,34.8014,-106.5436,46.99,65,90,19.57,overcast clouds,2021-01-24 23:39:01
63,Margate,GB,51.3813,1.3862,37.99,81,95,8.01,overcast clouds,2021-01-24 23:39:02
64,Harare,ZW,-17.8294,31.0539,64.0,92,100,5.99,light rain,2021-01-24 23:39:02
65,Atuona,PF,-9.8,-139.0333,78.39,78,10,14.12,clear sky,2021-01-24 23:39:02
66,Sisimiut,GL,66.9395,-53.6735,14.67,88,43,4.41,scattered clouds,2021-01-24 23:36:24
67,Mont-Dore,NC,-22.2833,166.5833,81.0,99,78,15.57,broken clouds,2021-01-24 23:39:02
68,Mayo,US,38.8876,-76.5119,35.6,41,90,3.44,light snow,2021-01-24 23:39:03
69,Graaff-Reinet,ZA,-32.2522,24.5308,60.01,83,46,5.01,scattered clouds,2021-01-24 23:39:03
70,Sola,VU,-13.8833,167.55,86.0,84,90,15.79,light rain,2021-01-24 23:36:50
71,Buraydah,SA,26.326,43.975,50.0,46,0,5.75,clear sky,2021-01-24 23:36:56
72,Qeshm,IR,26.9581,56.2719,57.2,32,0,4.61,clear sky,2021-01-24 23:39:03
73,Uberlandia,BR,-18.9186,-48.2772,77.0,53,0,4.61,clear sky,2021-01-24 23:39:04
74,Georgetown,MY,5.4112,100.3354,78.8,89,20,3.44,few clouds,2021-01-24 23:39:04
75,Kodiak,US,57.79,-152.4072,39.2,41,1,19.57,clear sky,2021-01-24 23:39:04
76,Ostrovnoy,RU,68.0531,39.5131,13.71,95,97,9.91,overcast clouds,2021-01-24 23:37:15
77,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.87,86,11,10.78,few clouds,2021-01-24 23:37:10
