City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
222,Puerto Narino,CO,84.2,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
228,Bandarbeyla,SO,73.81,light rain,9.4942,50.8122,JABIR HOTEL
235,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
237,Namatanai,PG,84.49,light rain,-3.6667,152.4333,Namatanai Hotel
239,Ixtapa,MX,73.99,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
241,Prainha,BR,75.04,light rain,-1.8,-53.48,Casa Rocha
245,Lorengau,PG,85.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
246,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
247,Srandakan,ID,77.81,overcast clouds,-7.9386,110.2506,Puri Brata
248,Ojinaga,MX,82.4,clear sky,29.5667,-104.4167,Suites Las Palmas
253,Prado,BR,76.87,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
259,Kendari,ID,76.46,overcast clouds,-3.945,122.4989,Hotel Wixel
263,Santa Maria Da Vitoria,BR,73.78,scattered clouds,-13.3947,-44.1886,Pousada Rio Current
269,Bobo Dioulasso,BF,71.6,clear sky,11.1771,-4.2979,IBA Hotel
274,Alice Springs,AU,86.0,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
278,Palu,ID,78.4,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
280,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
286,Iquitos,PE,84.2,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
291,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
292,Codrington,AU,72.7,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
293,San Patricio,US,77.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
298,Mocuba,MZ,74.95,overcast clouds,-16.8392,36.9856,Phama Lodge
299,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
301,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Pirineos
305,Port Blair,IN,73.18,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
308,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
311,Mucurapo,TT,78.8,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
